symptoms,condition,natural_remedy,medicine,advice
"pressure around forehead, scalp tenderness, dull head pain, neck stiffness",Tension Headache,warm compress; gentle neck stretches,acetaminophen,Maintain good posture and reduce screen time
"fever, irritability, muffled hearing, ear pain",Otitis Media,warm compress,ibuprofen,Keep ears dry and elevate head during rest
"loss of appetite, right lower abdominal pain, nausea",Appendicitis,N/A,metronidazole,Seek immediate surgical evaluation
"mild fever, cough, nasal congestion, sneezing, runny nose",Common Cold,steam inhalation; honey‑lemon tea,ibuprofen,Rest well and stay hydrated
"infrequent bowel movements, abdominal discomfort, straining, hard stools",Constipation,warm water; prune juice,polyethylene glycol,Increase fiber and exercise regularly
"headache, nosebleeds, dizziness",Hypertension,relaxation breathing; garlic supplements,lisinopril,Reduce salt intake and exercise regularly
"bruising, ankle swelling, instability, pain with movement",Ankle Sprain,arnica gel; RICE protocol,ibuprofen,Gradually restore range of motion and strength
"knee pain, crepitus, reduced range of motion, stiffness, swelling",Osteoarthritis of Knee,glucosamine supplement; hot‑cold therapy,diclofenac gel,Maintain healthy weight and strengthen quadriceps
"burning sensation, numbness, sharp leg pain",Sciatica,piriformis stretches; ice pack,naproxen,Avoid prolonged sitting; practice core exercises
"loss of appetite, low‑grade fever, right lower abdominal pain, nausea",Appendicitis,N/A,metronidazole,Seek immediate surgical evaluation
"dry cough, fatigue, loss of smell, shortness of breath, fever",Influenza (flu)‑19,warm saline gargle; hydration,nirmatrelvir‑ritonavir,Self‑isolate and follow local health guidelines
"behind‑the‑eye pain, severe headache, high fever, rash",Dengue Fever,papaya leaf juice; fluid replacement,acetaminophen,Avoid NSAIDs and monitor for warning signs
"headache, fatigue, body aches, dry cough, chills",Influenza (Flu),ginger tea,acetaminophen,Increase fluid intake; isolate to avoid spreading
"cold hands, shortness of breath, fatigue, dizziness, pale skin",Iron‑Deficiency Anemia,molasses drink; iron‑rich foods,iron infusion,Combine iron with vitamin C foods
"cold sweats, dizziness, vomiting, nausea",Motion Sickness,acupressure bands,dimenhydrinate,Focus on horizon and avoid heavy meals before travel
"cracked skin, dry patches, redness, itchy rash",Eczema (Dermatitis),oatmeal bath; coconut oil,cetirizine,Moisturize frequently and avoid harsh soaps
"nausea, weakness, profuse sweating",Heat Exhaustion,cool shower; electrolyte drink,oral rehydration salts,Move to cooler place and rest
"frequent urination, blurred vision, increased thirst, fatigue",Diabetes (Hyperglycemia),fenugreek seeds,metformin,Monitor blood glucose and follow balanced diet
"visual aura, vomiting, nausea",Migraine,peppermint oil on temples,ibuprofen,Rest in a dark quiet room; track triggers
"headache, dry cough, high fever",Influenza (Flu),ginger tea; warm saltwater gargle,acetaminophen,Increase fluid intake; isolate to avoid spreading
"dry cough, loss of smell, fatigue",Influenza (flu)‑19,warm saline gargle; hydration,nirmatrelvir‑ritonavir,Self‑isolate and follow local health guidelines
"throat pain, fever, difficulty swallowing",Tonsillitis,cold smoothies; chamomile tea,amoxicillin‑clavulanate,Rest voice and stay hydrated
"cold sweats, nausea, vomiting, dizziness",Motion Sickness,acupressure bands; ginger candy,scopolamine patch,Focus on horizon and avoid heavy meals before travel
"fever, swollen tonsils, tender lymph nodes",Streptococcal Pharyngitis,warm saltwater gargle,amoxicillin,Complete antibiotics and change toothbrush
"shortness of breath, fever, fatigue, loss of smell, dry cough",Influenza (flu)‑19,warm saline gargle,nirmatrelvir‑ritonavir,Self‑isolate and follow local health guidelines
"nosebleeds, blurred vision, headache, often asymptomatic",Hypertension,relaxation breathing; garlic supplements,amlodipine,Reduce salt intake and exercise regularly
"infrequent bowel movements, abdominal discomfort, hard stools",Constipation,warm water; prune juice,polyethylene glycol,Increase fiber and exercise regularly
"pain with movement, bruising, instability",Ankle Sprain,RICE protocol,ibuprofen,Gradually restore range of motion and strength
"dark urine, dry mouth, thirst",Dehydration,coconut water,IV fluids (if severe),Drink water regularly and avoid excessive heat
"fever, shortness of breath, fatigue, dry cough",Influenza (flu)‑19,warm saline gargle; hydration,paracetamol,Self‑isolate and follow local health guidelines
"nausea, swelling lips, itchy throat, abdominal pain, hives",Food Allergy,cold compress; soothing oatmeal bath,epinephrine (EpiPen),Eliminate the trigger food and read labels carefully
"frequent urination, fatigue, increased thirst",Diabetes (Hyperglycemia),fenugreek seeds; cinnamon water,insulin,Monitor blood glucose and follow balanced diet
"high fever, shortness of breath, chest pain, productive cough",Pneumonia,rest; warm liquids,azithromycin,Complete antibiotic course; monitor breathing
"fatigue, increased thirst, frequent urination",Diabetes (Hyperglycemia),cinnamon water,insulin,Monitor blood glucose and follow balanced diet
"itching, discharge, gritty feeling, red eye",Conjunctivitis (Pink Eye),cold compress; saline eye rinse,chloramphenicol eye drops,Avoid touching eyes and wash hands frequently
"swelling, tenderness, tendon pain, reduced strength",Tendonitis,compression wrap,naproxen,Avoid repetitive strain and do eccentric exercises
"high fever, joint pain, rash, behind‑the‑eye pain, severe headache",Dengue Fever,fluid replacement; papaya leaf juice,acetaminophen,Avoid NSAIDs and monitor for warning signs
"sour taste, regurgitation, chest discomfort, bloating, heartburn",Acid Reflux,chew sugar‑free gum; ginger tea,ranitidine,Eat smaller meals and avoid lying down after eating
"feelings of hopelessness, loss of interest, sleep changes",Depression Episode,mindfulness meditation; regular aerobic exercise,sertraline,Maintain social connections and seek therapy
"wheezing, shortness of breath, coughing",Asthma Exacerbation,pursed‑lip breathing,fluticasone inhaler,Use peak‑flow meter and avoid smoke exposure
"abdominal pain, nausea, itchy throat, swelling lips, hives",Food Allergy,soothing oatmeal bath,epinephrine (EpiPen),Eliminate the trigger food and read labels carefully
"painful urination, nausea, blood in urine",Kidney Stone,warm bath; lemon water,ibuprofen,Drink plenty of water and strain urine to catch stones
"crepitus, knee pain, stiffness, swelling",Osteoarthritis of Knee,glucosamine supplement,diclofenac gel,Maintain healthy weight and strengthen quadriceps
"excessive worry, muscle tension, difficulty concentrating",Generalized Anxiety Disorder,deep‑breathing exercises,escitalopram,Practice relaxation techniques and set realistic goals
"body aches, high fever, dry cough, chills, fatigue",Influenza (Flu),warm saltwater gargle; ginger tea,ibuprofen,Increase fluid intake; isolate to avoid spreading
"feelings of hopelessness, loss of interest, persistent sadness, fatigue, sleep changes",Depression Episode,mindfulness meditation; regular aerobic exercise,sertraline,Maintain social connections and seek therapy
"dizziness, blurred vision, often asymptomatic",Hypertension,relaxation breathing,lisinopril,Reduce salt intake and exercise regularly
"facial pain, reduced smell, thick nasal discharge",Sinusitis,saline nasal spray; steam inhalation,amoxicillin,Stay hydrated and apply warm compresses to sinuses
"urgency, dehydration, nausea, loose stools, abdominal cramps",Diarrhea (Infectious),oral rehydration salts; bland BRAT diet,oral rehydration solution,Replace fluids and avoid dairy temporarily
"pimples, inflammation, whiteheads, blackheads, oily skin",Acne Vulgaris,tea tree oil,benzoyl peroxide,Cleanse gently twice a day and avoid picking
"profuse sweating, cold clammy skin, weakness, rapid pulse, nausea",Heat Exhaustion,electrolyte drink,oral rehydration salts,Move to cooler place and rest
"high fever, joint pain, behind‑the‑eye pain",Dengue Fever,fluid replacement; papaya leaf juice,acetaminophen,Avoid NSAIDs and monitor for warning signs
"fever, severe fatigue, sore throat, body aches",Mononucleosis,salt‑water gargle; rest,acetaminophen,Avoid contact sports to protect spleen
"tremor, heat intolerance, anxiety, palpitations",Hyperthyroidism,bugleweed tea; stress‑reduction techniques,methimazole,Avoid excess iodine and caffeine
"blurred vision, nosebleeds, headache",Hypertension,relaxation breathing,amlodipine,Reduce salt intake and exercise regularly
"facial pain, nasal congestion, headache",Sinusitis,steam inhalation; saline nasal spray,oxymetazoline nasal spray,Stay hydrated and apply warm compresses to sinuses
"frequent urination, blurred vision, increased thirst, fatigue",Diabetes (Hyperglycemia),cinnamon water,insulin,Monitor blood glucose and follow balanced diet
"burning urination, low‑grade fever, cloudy urine, frequent urge, pelvic pain",Urinary Tract Infection,unsweetened cranberry juice,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"low‑grade fever, nausea, watery diarrhea, dehydration",Gastroenteritis,oral rehydration solution,ondansetron,Sip clear fluids and eat bland foods
"limited mobility, sudden lumbar pain, muscle stiffness",Acute Low Back Pain,gentle stretching,ibuprofen,Stay active with light movements; maintain posture
"fatigue, cold intolerance, constipation, dry skin, weight gain",Hypothyroidism,regular exercise,levothyroxine,Take medication on empty stomach daily
"itchy throat, hives, nausea, abdominal pain, swelling lips",Food Allergy,soothing oatmeal bath,diphenhydramine,Eliminate the trigger food and read labels carefully
"dehydration, urgency, nausea",Diarrhea (Infectious),bland BRAT diet; oral rehydration salts,oral rehydration solution,Replace fluids and avoid dairy temporarily
"heat intolerance, anxiety, weight loss",Hyperthyroidism,stress‑reduction techniques; bugleweed tea,methimazole,Avoid excess iodine and caffeine
"scaly plaques, itching, red patches",Psoriasis Flare,dead sea salt bath; sunlight exposure,topical corticosteroids,Keep skin moisturized and avoid triggers like stress
"bloating, nausea, upper abdominal discomfort",Indigestion (Dyspepsia),warm water with lemon; peppermint tea,famotidine,Eat slowly and avoid fatty foods
"fever, throat pain, swollen tonsils",Tonsillitis,chamomile tea,amoxicillin‑clavulanate,Rest voice and stay hydrated
"sore throat, body aches, severe fatigue",Mononucleosis,rest,ibuprofen,Avoid contact sports to protect spleen
"pressure around forehead, dull head pain, scalp tenderness",Tension Headache,gentle neck stretches,acetaminophen,Maintain good posture and reduce screen time
"fatigue, dry cough, loss of smell, shortness of breath",Influenza (flu)‑19,hydration,paracetamol,Self‑isolate and follow local health guidelines
"stiffness, swelling, reduced range of motion",Osteoarthritis of Knee,hot‑cold therapy; glucosamine supplement,acetaminophen,Maintain healthy weight and strengthen quadriceps
"muscle tension, excessive worry, difficulty concentrating",Generalized Anxiety Disorder,lavender tea; deep‑breathing exercises,buspirone,Practice relaxation techniques and set realistic goals
"whiteheads, oily skin, inflammation",Acne Vulgaris,tea tree oil,benzoyl peroxide,Cleanse gently twice a day and avoid picking
"frequent awakenings, daytime fatigue, difficulty falling asleep",Insomnia,warm bath; chamomile tea,zolpidem,Maintain consistent sleep schedule and limit screens
"fatigue, feelings of hopelessness, sleep changes, loss of interest",Depression Episode,regular aerobic exercise,sertraline,Maintain social connections and seek therapy
"tingling down leg, burning sensation, sharp leg pain",Sciatica,ice pack; piriformis stretches,naproxen,Avoid prolonged sitting; practice core exercises
"hunger, rapid heartbeat, sweating, confusion, shakiness",Hypoglycemia,eat glucose tablets,glucose gel,Carry quick sugar and adjust insulin timing
"bloating, heartburn, sour taste",Acid Reflux,ginger tea,ranitidine,Eat smaller meals and avoid lying down after eating
"nausea, sensitivity to light, vomiting, throbbing headache",Migraine,peppermint oil on temples; cold compress,sumatriptan,Rest in a dark quiet room; track triggers
"increased thirst, fatigue, frequent urination, blurred vision",Diabetes (Hyperglycemia),fenugreek seeds; cinnamon water,metformin,Monitor blood glucose and follow balanced diet
"cloudy urine, low‑grade fever, pelvic pain, burning urination",Urinary Tract Infection,increased water intake,trimethoprim‑sulfamethoxazole,Urinate frequently and avoid irritants like caffeine
"swelling, tenderness, tendon pain",Tendonitis,compression wrap; rest and ice,naproxen,Avoid repetitive strain and do eccentric exercises
"fever, difficulty swallowing, throat pain, swollen tonsils",Tonsillitis,cold smoothies; chamomile tea,amoxicillin‑clavulanate,Rest voice and stay hydrated
"tingling down leg, burning sensation, numbness",Sciatica,piriformis stretches; ice pack,gabapentin,Avoid prolonged sitting; practice core exercises
"itchy throat, hives, swelling lips, abdominal pain",Food Allergy,cold compress; soothing oatmeal bath,epinephrine (EpiPen),Eliminate the trigger food and read labels carefully
"chest discomfort, persistent cough, fatigue, mild fever",Acute Bronchitis,humidifier use,acetaminophen,Increase fluid intake; avoid cold air
"nasal congestion, itchy nose, watery eyes, runny nose, sneezing",Allergic Rhinitis,saline nasal rinse; local honey,loratadine,Avoid known allergens and keep windows closed
"low‑grade fever, right lower abdominal pain, nausea",Appendicitis,N/A,ceftriaxone,Seek immediate surgical evaluation
"dizziness, fatigue, cold hands",Iron‑Deficiency Anemia,iron‑rich foods; molasses drink,iron infusion,Combine iron with vitamin C foods
"reduced range of motion, swelling, crepitus",Osteoarthritis of Knee,glucosamine supplement; hot‑cold therapy,acetaminophen,Maintain healthy weight and strengthen quadriceps
"low‑grade fever, burning urination, pelvic pain",Urinary Tract Infection,unsweetened cranberry juice,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"thick nasal discharge, nasal congestion, headache, facial pain, reduced smell",Sinusitis,saline nasal spray; steam inhalation,oxymetazoline nasal spray,Stay hydrated and apply warm compresses to sinuses
"pressure around forehead, neck stiffness, scalp tenderness",Tension Headache,gentle neck stretches; warm compress,acetaminophen,Maintain good posture and reduce screen time
"runny nose, itchy nose, sneezing, watery eyes, nasal congestion",Allergic Rhinitis,saline nasal rinse,cetirizine,Avoid known allergens and keep windows closed
"discharge, red eye, tearing",Conjunctivitis (Pink Eye),saline eye rinse; cold compress,chloramphenicol eye drops,Avoid touching eyes and wash hands frequently
"fatigue, chest pain, shortness of breath",Pneumonia,rest; warm liquids,amoxicillin‑clavulanate,Complete antibiotic course; monitor breathing
"urgency, loose stools, nausea",Diarrhea (Infectious),bland BRAT diet,loperamide,Replace fluids and avoid dairy temporarily
"severe headache, high fever, joint pain, rash, behind‑the‑eye pain",Dengue Fever,fluid replacement,acetaminophen,Avoid NSAIDs and monitor for warning signs
"palpitations, heat intolerance, anxiety",Hyperthyroidism,bugleweed tea,propranolol,Avoid excess iodine and caffeine
"limited mobility, sudden lumbar pain, muscle stiffness",Acute Low Back Pain,heat pack,cyclobenzaprine,Stay active with light movements; maintain posture
"swollen tonsils, fever, throat pain",Tonsillitis,cold smoothies,acetaminophen,Rest voice and stay hydrated
"throat pain, swollen tonsils, difficulty swallowing, fever",Tonsillitis,chamomile tea; cold smoothies,acetaminophen,Rest voice and stay hydrated
"redness, cracked skin, dry patches",Eczema (Dermatitis),coconut oil; oatmeal bath,cetirizine,Moisturize frequently and avoid harsh soaps
"sharp flank pain, nausea, painful urination",Kidney Stone,warm bath,tamsulosin,Drink plenty of water and strain urine to catch stones
"fatigue, blurred vision, frequent urination, increased thirst",Diabetes (Hyperglycemia),fenugreek seeds,metformin,Monitor blood glucose and follow balanced diet
"red patches, scaly plaques, itching, dry skin",Psoriasis Flare,sunlight exposure,calcipotriene,Keep skin moisturized and avoid triggers like stress
"fever, swollen lymph nodes, severe fatigue, sore throat, body aches",Mononucleosis,salt‑water gargle; rest,acetaminophen,Avoid contact sports to protect spleen
"feelings of hopelessness, persistent sadness, sleep changes, fatigue",Depression Episode,regular aerobic exercise; mindfulness meditation,sertraline,Maintain social connections and seek therapy
"heartburn, bloating, sour taste, chest discomfort",Acid Reflux,ginger tea,omeprazole,Eat smaller meals and avoid lying down after eating
"rapid pulse, weakness, cold clammy skin, profuse sweating, nausea",Heat Exhaustion,electrolyte drink; cool shower,oral rehydration salts,Move to cooler place and rest
"dry throat, raw sensation, cough, hoarse voice",Laryngitis,humidifier use; warm water with honey,ibuprofen,Rest voice and avoid irritants
"ear pain, fever, ear fullness",Otitis Media,warm olive‑oil drops; warm compress,ibuprofen,Keep ears dry and elevate head during rest
"ear pain, muffled hearing, ear fullness, irritability",Otitis Media,warm compress; warm olive‑oil drops,amoxicillin,Keep ears dry and elevate head during rest
"low‑grade fever, right lower abdominal pain, nausea, loss of appetite",Appendicitis,N/A,ceftriaxone,Seek immediate surgical evaluation
"sharp leg pain, tingling down leg, numbness",Sciatica,ice pack; piriformis stretches,naproxen,Avoid prolonged sitting; practice core exercises
"body aches, sore throat, severe fatigue",Mononucleosis,salt‑water gargle,ibuprofen,Avoid contact sports to protect spleen
"nasal congestion, itchy nose, runny nose, watery eyes, sneezing",Allergic Rhinitis,local honey,loratadine,Avoid known allergens and keep windows closed
"muffled hearing, fever, ear fullness",Otitis Media,warm olive‑oil drops,ibuprofen,Keep ears dry and elevate head during rest
"belching, early satiety, upper abdominal discomfort",Indigestion (Dyspepsia),warm water with lemon; peppermint tea,famotidine,Eat slowly and avoid fatty foods
"cough, hoarse voice, dry throat",Laryngitis,humidifier use,prednisone (short course),Rest voice and avoid irritants
"wheezing, chest tightness, coughing, shortness of breath",Asthma Exacerbation,warm herbal tea; pursed‑lip breathing,fluticasone inhaler,Use peak‑flow meter and avoid smoke exposure
"cloudy urine, frequent urge, pelvic pain",Urinary Tract Infection,increased water intake,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"throat pain, difficulty swallowing, swollen tonsils",Tonsillitis,cold smoothies; chamomile tea,acetaminophen,Rest voice and stay hydrated
"chest pain, shortness of breath, high fever",Pneumonia,rest,amoxicillin‑clavulanate,Complete antibiotic course; monitor breathing
"watery eyes, nasal congestion, runny nose, sneezing, itchy nose",Allergic Rhinitis,saline nasal rinse; local honey,cetirizine,Avoid known allergens and keep windows closed
"wheezing, coughing, shortness of breath, chest tightness",Asthma Exacerbation,warm herbal tea,albuterol inhaler,Use peak‑flow meter and avoid smoke exposure
"vomiting, low‑grade fever, watery diarrhea",Gastroenteritis,oral rehydration solution; banana‑rice‑applesauce‑toast diet,ondansetron,Sip clear fluids and eat bland foods
"scalp tenderness, dull head pain, pressure around forehead, neck stiffness",Tension Headache,gentle neck stretches,naproxen,Maintain good posture and reduce screen time
"wheezing, shortness of breath, coughing",Asthma Exacerbation,warm herbal tea,fluticasone inhaler,Use peak‑flow meter and avoid smoke exposure
"fever, difficulty swallowing, throat pain",Tonsillitis,cold smoothies; chamomile tea,amoxicillin‑clavulanate,Rest voice and stay hydrated
"confusion, shakiness, sweating, hunger",Hypoglycemia,eat glucose tablets; consume fruit juice,glucagon injection,Carry quick sugar and adjust insulin timing
"dry cough, body aches, chills",Influenza (Flu),ginger tea; warm saltwater gargle,oseltamivir,Increase fluid intake; isolate to avoid spreading
"instability, ankle swelling, bruising, pain with movement",Ankle Sprain,RICE protocol,acetaminophen,Gradually restore range of motion and strength
"red skin, swelling, pain, peeling",Sunburn,aloe vera gel,lidocaine spray,Stay hydrated and avoid further sun exposure
"urgency, dehydration, nausea, abdominal cramps",Diarrhea (Infectious),bland BRAT diet,loperamide,Replace fluids and avoid dairy temporarily
"chest tightness, shortness of breath, coughing, wheezing",Asthma Exacerbation,warm herbal tea,fluticasone inhaler,Use peak‑flow meter and avoid smoke exposure
"raw sensation, dry throat, hoarse voice, cough",Laryngitis,warm water with honey,ibuprofen,Rest voice and avoid irritants
"burning sensation, numbness, sharp leg pain",Sciatica,piriformis stretches; ice pack,naproxen,Avoid prolonged sitting; practice core exercises
"tendon pain, reduced strength, tenderness",Tendonitis,compression wrap,diclofenac gel,Avoid repetitive strain and do eccentric exercises
"bloating, sour taste, chest discomfort, regurgitation",Acid Reflux,ginger tea,ranitidine,Eat smaller meals and avoid lying down after eating
"hives, swelling lips, nausea, abdominal pain",Food Allergy,cold compress; soothing oatmeal bath,epinephrine (EpiPen),Eliminate the trigger food and read labels carefully
"fatigue, mild fever, chest discomfort, persistent cough",Acute Bronchitis,honey ginger syrup; humidifier use,acetaminophen,Increase fluid intake; avoid cold air
"cold sweats, dizziness, vomiting",Motion Sickness,ginger candy; acupressure bands,scopolamine patch,Focus on horizon and avoid heavy meals before travel
"weakness, profuse sweating, cold clammy skin, nausea",Heat Exhaustion,cool shower,oral rehydration salts,Move to cooler place and rest
"tendon pain, reduced strength, swelling, tenderness",Tendonitis,compression wrap,naproxen,Avoid repetitive strain and do eccentric exercises
"burning urination, pelvic pain, cloudy urine, low‑grade fever, frequent urge",Urinary Tract Infection,unsweetened cranberry juice; increased water intake,trimethoprim‑sulfamethoxazole,Urinate frequently and avoid irritants like caffeine
"reduced strength, tenderness, swelling",Tendonitis,compression wrap,diclofenac gel,Avoid repetitive strain and do eccentric exercises
"restlessness, excessive worry, difficulty concentrating, muscle tension",Generalized Anxiety Disorder,lavender tea,escitalopram,Practice relaxation techniques and set realistic goals
"sneezing, itchy nose, runny nose",Allergic Rhinitis,saline nasal rinse,loratadine,Avoid known allergens and keep windows closed
"vomiting, watery diarrhea, low‑grade fever",Gastroenteritis,oral rehydration solution; banana‑rice‑applesauce‑toast diet,ondansetron,Sip clear fluids and eat bland foods
"daytime fatigue, irritability, difficulty falling asleep",Insomnia,chamomile tea; warm bath,melatonin,Maintain consistent sleep schedule and limit screens
"whiteheads, pimples, inflammation, oily skin, blackheads",Acne Vulgaris,tea tree oil,adapalene gel,Cleanse gently twice a day and avoid picking
"red skin, swelling, peeling, warmth, pain",Sunburn,cool compress,ibuprofen,Stay hydrated and avoid further sun exposure
"fatigue, headache, high fever, chills, dry cough, body aches",Influenza (Flu),warm saltwater gargle; ginger tea,oseltamivir,Increase fluid intake; isolate to avoid spreading
"warmth, peeling, red skin",Sunburn,cool compress,ibuprofen,Stay hydrated and avoid further sun exposure
"redness, dry patches, cracked skin",Eczema (Dermatitis),coconut oil,cetirizine,Moisturize frequently and avoid harsh soaps
"reduced strength, tenderness, swelling",Tendonitis,compression wrap; rest and ice,diclofenac gel,Avoid repetitive strain and do eccentric exercises
"alternating diarrhea and constipation, abdominal cramps, bloating",Irritable Bowel Syndrome,soluble fiber supplement; peppermint oil capsules,dicyclomine,Follow low‑FODMAP diet and manage stress
"abdominal cramps, dehydration, nausea, loose stools, urgency",Diarrhea (Infectious),oral rehydration salts; bland BRAT diet,loperamide,Replace fluids and avoid dairy temporarily
"facial pain, headache, nasal congestion, thick nasal discharge, reduced smell",Sinusitis,steam inhalation; saline nasal spray,oxymetazoline nasal spray,Stay hydrated and apply warm compresses to sinuses
"sore throat, sneezing, nasal congestion, runny nose",Common Cold,honey‑lemon tea,pseudoephedrine,Rest well and stay hydrated
"cough, hoarse voice, raw sensation, dry throat",Laryngitis,humidifier use,ibuprofen,Rest voice and avoid irritants
"loose stools, dehydration, abdominal cramps",Diarrhea (Infectious),bland BRAT diet,oral rehydration solution,Replace fluids and avoid dairy temporarily
"burning sensation, numbness, sharp leg pain",Sciatica,ice pack; piriformis stretches,naproxen,Avoid prolonged sitting; practice core exercises
"low‑grade fever, burning urination, frequent urge",Urinary Tract Infection,increased water intake; unsweetened cranberry juice,trimethoprim‑sulfamethoxazole,Urinate frequently and avoid irritants like caffeine
"dull head pain, scalp tenderness, neck stiffness",Tension Headache,warm compress,naproxen,Maintain good posture and reduce screen time
"sweating, hunger, confusion, shakiness, rapid heartbeat",Hypoglycemia,consume fruit juice; eat glucose tablets,glucagon injection,Carry quick sugar and adjust insulin timing
"straining, abdominal discomfort, infrequent bowel movements",Constipation,warm water,bisacodyl,Increase fiber and exercise regularly
"daytime fatigue, difficulty falling asleep, irritability, frequent awakenings",Insomnia,chamomile tea; warm bath,zolpidem,Maintain consistent sleep schedule and limit screens
"nausea, dehydration, urgency, abdominal cramps",Diarrhea (Infectious),bland BRAT diet; oral rehydration salts,oral rehydration solution,Replace fluids and avoid dairy temporarily
"nausea, throbbing headache, visual aura, sensitivity to light, vomiting",Migraine,cold compress,ibuprofen,Rest in a dark quiet room; track triggers
"nausea, loose stools, urgency",Diarrhea (Infectious),oral rehydration salts,oral rehydration solution,Replace fluids and avoid dairy temporarily
"difficulty swallowing, throat pain, swollen tonsils",Tonsillitis,chamomile tea; cold smoothies,amoxicillin‑clavulanate,Rest voice and stay hydrated
"tremor, anxiety, heat intolerance",Hyperthyroidism,stress‑reduction techniques; bugleweed tea,methimazole,Avoid excess iodine and caffeine
"fatigue, chest pain, productive cough",Pneumonia,rest,amoxicillin‑clavulanate,Complete antibiotic course; monitor breathing
"fatigue, cold hands, pale skin, shortness of breath",Iron‑Deficiency Anemia,iron‑rich foods,ferrous sulfate,Combine iron with vitamin C foods
"itching, dry skin, red patches, scaly plaques",Psoriasis Flare,sunlight exposure; dead sea salt bath,topical corticosteroids,Keep skin moisturized and avoid triggers like stress
"shakiness, confusion, rapid heartbeat, sweating",Hypoglycemia,consume fruit juice; eat glucose tablets,glucagon injection,Carry quick sugar and adjust insulin timing
"vomiting, dehydration, abdominal cramps, low‑grade fever, watery diarrhea, nausea",Gastroenteritis,banana‑rice‑applesauce‑toast diet,ondansetron,Sip clear fluids and eat bland foods
"blood in urine, nausea, sharp flank pain",Kidney Stone,warm bath; lemon water,tamsulosin,Drink plenty of water and strain urine to catch stones
"sleep changes, loss of interest, fatigue",Depression Episode,regular aerobic exercise; mindfulness meditation,sertraline,Maintain social connections and seek therapy
"reduced smell, thick nasal discharge, facial pain",Sinusitis,steam inhalation; saline nasal spray,oxymetazoline nasal spray,Stay hydrated and apply warm compresses to sinuses
"limited mobility, muscle stiffness, sudden lumbar pain",Acute Low Back Pain,gentle stretching; heat pack,ibuprofen,Stay active with light movements; maintain posture
"upper abdominal discomfort, bloating, nausea, early satiety",Indigestion (Dyspepsia),peppermint tea,antacid chewables,Eat slowly and avoid fatty foods
"frequent urge, burning urination, pelvic pain",Urinary Tract Infection,increased water intake; unsweetened cranberry juice,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"fatigue, symmetrical pain, joint swelling",Rheumatoid Arthritis Flare,fish oil; turmeric milk,methotrexate,Perform low‑impact exercises and rest inflamed joints
"dry skin, weight gain, constipation",Hypothyroidism,regular exercise; selenium‑rich foods,levothyroxine,Take medication on empty stomach daily
"frequent urge, pelvic pain, cloudy urine",Urinary Tract Infection,increased water intake; unsweetened cranberry juice,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"dry patches, cracked skin, redness, itchy rash",Eczema (Dermatitis),coconut oil,hydrocortisone cream,Moisturize frequently and avoid harsh soaps
"weakness, profuse sweating, rapid pulse",Heat Exhaustion,electrolyte drink,oral rehydration salts,Move to cooler place and rest
"fatigue, sleep changes, persistent sadness, loss of interest, feelings of hopelessness",Depression Episode,mindfulness meditation; regular aerobic exercise,sertraline,Maintain social connections and seek therapy
"hard stools, abdominal discomfort, infrequent bowel movements, straining",Constipation,warm water; prune juice,polyethylene glycol,Increase fiber and exercise regularly
"upper abdominal discomfort, belching, early satiety",Indigestion (Dyspepsia),peppermint tea,famotidine,Eat slowly and avoid fatty foods
"difficulty concentrating, muscle tension, excessive worry, restlessness",Generalized Anxiety Disorder,lavender tea,buspirone,Practice relaxation techniques and set realistic goals
"scalp tenderness, neck stiffness, dull head pain",Tension Headache,warm compress,naproxen,Maintain good posture and reduce screen time
"pressure around forehead, neck stiffness, scalp tenderness",Tension Headache,warm compress; gentle neck stretches,acetaminophen,Maintain good posture and reduce screen time
"cough, hoarse voice, raw sensation, dry throat",Laryngitis,humidifier use; warm water with honey,ibuprofen,Rest voice and avoid irritants
"pelvic pain, low‑grade fever, cloudy urine",Urinary Tract Infection,unsweetened cranberry juice,trimethoprim‑sulfamethoxazole,Urinate frequently and avoid irritants like caffeine
"dull head pain, scalp tenderness, pressure around forehead",Tension Headache,gentle neck stretches; warm compress,acetaminophen,Maintain good posture and reduce screen time
"swelling, red skin, peeling",Sunburn,cool compress,lidocaine spray,Stay hydrated and avoid further sun exposure
"runny nose, watery eyes, sneezing, itchy nose, nasal congestion",Allergic Rhinitis,local honey,cetirizine,Avoid known allergens and keep windows closed
"increased thirst, frequent urination, blurred vision, fatigue",Diabetes (Hyperglycemia),fenugreek seeds,insulin,Monitor blood glucose and follow balanced diet
"increased thirst, blurred vision, fatigue, frequent urination",Diabetes (Hyperglycemia),fenugreek seeds; cinnamon water,insulin,Monitor blood glucose and follow balanced diet
"shortness of breath, wheezing, coughing",Asthma Exacerbation,pursed‑lip breathing,fluticasone inhaler,Use peak‑flow meter and avoid smoke exposure
"itchy throat, swelling lips, hives, abdominal pain",Food Allergy,soothing oatmeal bath,epinephrine (EpiPen),Eliminate the trigger food and read labels carefully
"dizziness, thirst, dry mouth, fatigue",Dehydration,coconut water; oral rehydration solution,IV fluids (if severe),Drink water regularly and avoid excessive heat
